,sentence,physics,race,religion
256,"""i cant eat pork, it's against my religion, so i'm going to kill myself"" ""actually, that's also against your religion"" ""FUCK""",1,0,1
257,"Literally fuck society, people suck, our government and religion is corrupt, and I bet hella people will say shit about this tweet because I'm voicing my feelings and opinion.",1,0,1
258,"I'm sick of religion, all religion. Fuck off with your little mind go crawl back into your echo chamber.",1,0,1
259,Another #catholicpreist caught doing sht with kids in DC....y'all parents should feel STUPID keep dropping/forcing these kids off to CHURCH and they going through HELL....religion is bullsht it's what keeps us separated like politics....i feel bad for the kids and FUCK THE PARENT,1,0,1
260,"-with religion as justification for terribleness/terrible deeds, and just the overall stunning lack of empathy and logic in American politics and in American society. We are all living in a sick, twisted reality. Holy fuck.",1,1,1
261,Shame on people who kept comparing us to animals as if animals didn't behave a THOUSAND TIMES better than us. And shame on people who blamed the rapist but only because it was against their religion AS IF YOU NEEDED A GOD to tell you when something was morally corrupt or not fuck,1,0,1
262,@RemoWil27894360 @andrewfharley @robertson2803 @ATree87571299 @MSNBC LMAO I knew it !! Lmao it's insane. Ur so picked on. I'm atheist so I happen to think all religion is bull shit. But I respect the right to worship whatever the fuck u want as ridic,1,0,1
263,imagine voting an absolute piece of shit because of religion what the fuck is up with y'all,1,0,1
264,Didnt vote for him but if that's what his religion is telling him to believe how can you say you want equal and fairness for all but at the same time say fuck you to him? https://t.co/fS3tr8l0ZR,1,0,1
265,people who still use religion to back up their politics drop me ur addy and square the fuck up,1,0,1
266,"I am sick and tired of people like @jaredpolis ending his speech with ""God bless Colorado"". We are not religious and this is a""fuck you"" to all of us! Religion is precisely the problem at the moment. Call out this dismissing of us and our vital role in the US. We matter!",1,0,1
267,@karanku100 I just mock losers like you. You suppoterrorists bcoz they belong your religion. You justify &amp; rejoice deaths of Kashmiri youths by called them Jihadi &amp; I see you have some audacity to call me Jihadi. Please fuck off frm my mentions,1,0,1
268,@hixeok this is very very true!!!! religion is at the base of hate and division. and we need to get it the FUCK out of our policies and government. that's why we're such a conservative country. people feel to strongly on that shit,1,0,1
269,Like why is social justice starting to look like some kind of bigoted religion? Fuck weh wid dat.,1,0,1
270,Fuck true religion more like edating religon amirite,1,0,1
271,"Christians are idiots idc fuck y'all stupid ass religion, PERIOD.",1,0,1
272,shut the fuck up with your religion bullshit https://t.co/3WyaVv11oP,1,0,1
273,"My religious followers?? GOOD for you. I'm not saying you can't have a religion or practice it, and I'm not shitting on anybody's god, here. I'm saying FUCK YOU to all of the ""good Christians"" and catholic zealots who have RUINED this country, and this WORLD.",1,0,1
274,Fuck Politics &amp; Fuck Religion. Goodnight y'all.,1,0,1
275,Fuck religion &amp; fuck politics,1,0,1
276,@LordReynolds Fuck I hate religion and those who are duped by it.,1,0,1
277,@AndrewToutge Its not an opinion that's the fucking gag. You're using your western religion to back your transphobia which is ignorant considering there's more shit going on in the Bible. Fuck your god,1,1,1
278,Fuck religion. I believe in God not the representatives. How do we listen to perverted preachers willing to fuck us in God's name?,1,0,1
279,FUCK religion for a lot of reasons but most importantly for creating capitalism,1,0,1
280,"Could not give a fuck their religion. As a Jew, they are attention seeking pricks and can go forth https://t.co/BabSgkwxC7",1,0,1
281,"@senthorun The amount of moderate followers that have been lost as a result of this is a double kick in the nuts. So many of us have ""seen the light"" and moved on. Good I say. Fuck religion. I'm preaching humanity from now",1,0,1
282,FUCK DONALD TRUMP ..AND THEY DIDNT SEE THE YOUR RELIGION THEY SAW YOUR RACIST HAT ..YOU DUMB JEWISH BITCHES LOL... https://t.co/JPfa2aTjQW,1,0,1
283,@Magdadavitt7 Hurray! Camel piss drinking #SineadOConnor blocked me. Fuck the religion of Piss. https://t.co/BzXSG06kHE,1,0,1
284,"This shit in Pakistan is fucking nuts dude. Trying to kill the lawyer for defending the woman, the judge for finding her innocent and her for being innocent. Fuck organised religion man",1,1,1
285,Fuck true religion more like edating religon amirite,1,0,1
286,@KyleCoelhoooo No disrespect but fuck religion,1,0,1
287,"@RepMattShea Re; your holy Army shit--Hey fuckwad..The bible is NOT the rule of the world. It's a book written by HUMANS, just like the torah,the Qabala etc etc. Go FUCK JESUS IN THE ASS dude!! This IS NOT an exclusively Christian nation! IT's Freedom of",1,0,1
288,isaiah 43:2 “let's go fuck up some comma. we all know religion is a joke these ppl r delusional idc,1,0,1
289,politics and religion is the same shit. If you not with them they're all against you. Shit dumb as fuck. leave me be and let me live how i feel.,1,0,1
290,@Satwant92308142 No the fuck it's not. Don't you dare bring religion into this you weirdo,1,0,1
291,Growing up mormon damaged my sexuality and individuality. I left the church at 12 years old. At 27 it still ruins my relationships and mental health. Fuck Religion,1,0,1
292,@AupolNews Little Linda can fuck off and take her shit religion with her,1,0,1
293,@phpups: u want this? say fuck organized religion first,1,0,1
294,"I hate how religion/society demonizes those that don't ""obey."" The fuck? I'm not your servant or bitch and these days a servant has rights. And prisoners have rights too. Stop hurting people and they'll want to ""obey"" which is actually not healthy. Do you tell your wife to (1/3)",1,0,1
295,"@Liv_Boeree Fuck religion just assume that this is it and life ends after death. Enjoy life while it lasts nothing more will happen. If you are simulated so be it, just live, learn, discover, grow, expierience and be nice to one another. You do not need h",1,0,1
296,Fuck true religion more like edating religon amirite,1,0,1
297,@marcorubio pastor marco the hypocritic just fuck of you bible pushing dimwitted idiot. Keep your fucking religion out of politics. Jesus fucking christ.,1,0,1
298,echoes..fuck you..your family..your friends..your religion ..your culture..your face..your mom..you sister....your head....your family..fuck you siick mother fukcer..coward thief asshole crook Nazi irish white trash fucking cop...fuck you your family......dead mother fucker.,1,1,1
299,Yes to Abortion. Yes to Absolute Divorce. Yes to Contraceptives. Yes to Sexual Freedom. You don't like it? Dont do it. That doesn't give you the right to take away other people's choices. Fuck you and conservatism. Keep religion out of state affairs.,1,0,1
300,fuck catholicism. the ooh la la la comeback stage is my religion now,1,0,1
301,"Happy 5th November, - Long story short, do not fuck with the king, do not try to blow people up for religion. How do we celebrate this? We throw the body of a Catholic man on to a fire every year. Have good night kids. https://t.co/9JhtWyPbTf",1,0,1
302,"who am I kidding, fuck religion, fuck the church.",1,0,1
303,"74% of voters for the Christian Party in Sweden wants to collaborate with the racist party. 67% of voters for the primary right-leaning party want to collaborate with the racist party. fuck religion, and fuck ""the right""",1,0,1
304,"AGAIN, FUCK RELIGION! https://t.co/B0NLefXyZz",1,0,1
305,"@Ban_Ana_XO4 I just don't believe in religion. If this region was never colonized, we wouldn't even know what the fuck Christianity or Catholicism ever was. And too many things out there that just don't make sense if anything about religion were true.",1,0,1
306,"Lost my faith, there is no god. Fuck religion.",1,0,1
307,Idk why Christians use their religion as an excuse for being homophobic we- wasn't Jesus so ugly that only one person would fuck him and that one person was a man SKKSKS,1,0,1
308,Damn devils got my shit banned fuck you jewish people how you turn a nationality into a religion wdf that's like me saying I'm chineseish fucking devils,1,0,1
309,A Christian acquaintance on Facebook posted praise to God for a new BMW. They wonder why people hate religion. Fuck her and fuck religion.,1,0,1
310,"An absolute disgrace, I don't like any religion, but to favour Islam! Fuck the establishment https://t.co/fSOGTdVpNs",1,0,1
311,Can't believe the man who built the temple of God is so horny all the time. Fuck religion let's just fuck ourselves to death.,1,0,1
312,Bullshit Christian Body of india. Who saves rapist and molester priests. So called contractors of religion. Fuck them all. https://t.co/n2EFpIH9uW,1,0,1
313,"@AMike4761 Why anyone is still listening to this idiot ""pope"" or any religious institution is beyond me. Time to dissolve religion as anyone with eyes can see the bullshit it is and the bullshit it stands for. Fuck the pope and his religion, it's been p",1,0,1
314,"Be free from religion, you people are so stupid it's a reflection of your faith in my country, we are going to fuck Muslim children in future, let's dance with the devil",1,0,1
315,I really like it when atheists who hold people of faith in contempt act like THEY are the theological experts and can tell these ignorant loser theists what the fuck is up with their religion.,1,0,1
316,"Zombieland Saga is my new religion, fuck Jesus! #zombielandsaga https://t.co/ODQEejeAZ7",1,0,1
317,@realDonaldTrump whole family are practically jewish n he is a christian n supports isreal n the jews but the democrats suppomuslims that hate jews n despise the one true god n it aint some bitch called allah fuck isalm n the religion of death n destru,1,0,1
318,People are of/without religion. Are they recognized as adults legally? Then they are men. Kindly fuck off with your religion. Bless up https://t.co/u1jVdrWdx4,1,0,1
319,Fuck Islam Fuck mohammed Fuck Allah,1,0,1
320,@huhana @LexieMatheson Those bloody tauiwi &amp;their fuck'd up religion. Aue!,1,1,1
321,@fekerksa_en fuck your bullshit religion. Blasphemy is not a crime. https://t.co/e5V8bWeHsU,1,0,1
322,"Just saw a jewelry commercial with a man proposing to another man and a woman proposing to a man and I thought fuck Trump, fuck Republicans, fuck religion, the world is moving forward and while progress might be slowed, it cannot be stopped.",1,1,1
323,@bohemiantoo @2getbrown @StevieG_Loyal @arthuredelstein @crimesofbrits Aye because the people that died during both the world wars had a say in the colonasim of the past. Fact is they went to a war when they had no choice. Fuck all to do with religion or,1,0,1
324,"Just watched disobedience... Left mr angry at Jewish orthodoxy. Rather, all religious practice that deny people their humanity. Fuck religion. https://t.co/ehInSuuQ1I",1,0,1
325,"@wvjoe911 Okay, here's some ""ungodly"" for that bastard: Fuck religion! and fuck his fantasy god! Conservative ""Christianity"" is a FRAUD...",1,0,1
326,"#Alminia Fuck Qatar, Fuck Islamists, Fuck Liars and Killers. Religion of Peace my butt, practice what you preach A*Holes",1,0,1
327,"(AND ODDLY, this is just a ME PROBLEM where like - Are OTHER PEOPLE ignorant self-deluding fools for religion? Devout Christians (who don't suck), Muslims, spiritual Buddhists, are they - NO!!!! FUCK OFF WITH THAT! FUCK OFF IMMEDIATELY!!! ...but ME doing it is *BAD, OK?*)",1,0,1
328,@Michell17256783: @real_farmacist Fuck you Donald Trump your religion is paid for by Russians,1,0,1
329,"Am I anti catholic, aye! Yer religion is responsible for a very high percentage of the worlds rape crime figures. Unless you're a catholic that's done something to stop your religion abusing weans then fuck you.",1,0,1
330,"Fuck politics, fuck religion, fuck Neil Lennon it's all about the rangers WATP",1,0,1
331,Why the religion says that Jesus create the man to be with woman. When man can fuck each other and woman can either fuck each other.,1,0,1
332,Got it! So Christianity BAD! Atheism GOOD! Got it! Take down all Christian symbols because it offends people...... for no good reason.... other than fuck their religion. Got it!,1,0,1
333,"Chinese in name. Religion, Islam. Learn the difference, you raggedy ass bitch. And how the fuck did you get your hands on another person's mail huh! https://t.co/dn6R7qA5XF",1,1,1
334,Fuck religion,1,0,1
335,"Fuck nationalism &amp; religion. My place of origin is my mother's womb. My creator is her eggs &amp; my fathers sperm. Oh, and chemistry.",1,0,1
336,@Riilu_ Because Christianity in politics. Fuck religion.,1,0,1
337,Thanksgiving at my momma house this year fuck her. She and her wack ass religion not ruining my holidays.,1,0,1
338,christianity tires me the fuck out when is this religion course going to end,1,0,1
339,Fuck religion https://t.co/tn74YSeP2Z,1,0,1
340,@AlienGirlUltra: I'd RATHER BE AN HONEST SINNER THAN A LYING HYPOCRITE. Fuck Organized Religion and your CLOSED MINDEDNESS.,1,0,1
341,@Angie18548707 They should be ashamed... these jihadists have no right to take over and preach their disgusting hate religion on our streets. Met police need to grow some balls and sothis shit out its a Christian country... fuck'em,1,1,1
342,I don't have to work for a secret program. I just open my eyes. And the government controlled our mind with everything from religion to Media... Oh yeah fuck our president he down with it and he know it...,1,0,1
343,"""Religious beliefs"" as a Christian go fuck yourselves. Any religion (Judaism, Christianity, Islam, Buddhism, Sikhism, don't care which) that promotes the banning of a HOLIDAY that is for CHILDREN (idgaf if it's a holiday rooted in pagan/satanic worship) has no place in England. https://t.co/AZNqhgqwy2",1,0,1
344,I don't get why negroes always traveling to white countries. Take your ass to Africa!,0,1,0
345,lmao how funny that true does know where the camara at lol,0,0,0
346,@art_is_forever when did she publicly thank him?,0,0,0
347,Post a picture of Khloe already!!!!! Come on!!!!,0,0,0
348,@progreenlc no we don't. When did he become the poster child for faithful partner? Please. They all do it. He just got caught.,0,0,0
349,@art_is_forever thank her forrrr......,0,0,0
350,"Thank you Coach James, you will be Miss assistant lue🤦🏽‍♀️",0,0,0
351,Respect,0,0,0
352,Here is a Halloween costume ...Can you be a father to you son for a day?,0,0,0
353,Why don't you post your SON so ridiculous. Ur a slave to white people make me sick to my stomach 🤮,0,1,0
354,@giselle_is_my_name if you really have to ask how then please keep stanning 😂😂,0,0,0
355,aree u even involved in your daughters life?,0,0,0
356,SAME,0,0,0
357,Can't believe you dissed the raps and y'all are 0 in 6 now,0,0,0
358,@gabyby22 fathering a child has nothing to do with committing to khloe. You can be a good father without staying with the mother of your child,0,0,0
359,Into supreme?,0,0,0
360,@anizyx How is he breaking his daughter's heaim waiting?,0,0,0
361,@giselle_is_my_name the previous post boo boo,0,0,0
362,Amazing 😍,0,0,0
363,@lizthe_blessedone oh yes that lil cutie... sorry i cant remember thr son cause Tristan wouldnt grace us with his image... smh,0,0,0
364,@nancytsidley she didn't do anything,0,0,0
365,@imjennaburgess just here for the comments 🍿🍿,0,0,0
366,@champerssweetie oh your white you have no say sorry,0,1,0
367,@princessm5529 your opinion is irrelevant,0,0,0
368,Omg True is your mini! #twins,0,0,0
369,Swaggin on em,0,0,0
370,Dats not a Drip💀💀💀,0,0,0
371,The comments are great @chloemefleh,0,0,0
372,Is it me or am I the only one who gets a very gay vibe of energy from @realtristan13 ?.. please let me know down below in the comments.,0,0,0
373,So cool,0,0,0
374,LOLol this guys doing charity .. who allowed that 🤦‍♀️,0,0,0
375,This Dress 💗,0,0,0
376,Guys It was The past. Just forget about what he did in the past. He's Better Person now.,0,0,0
377,Oh your date wasn't the many girls you are dming,0,0,0
378,@zachs_pix lol hahaa,0,0,0
379,Nice outfit!,0,0,0
380,"Congrats on 8 years of basketball in the nba!! However, the cavs will lose 50 games this year!! #justanobservation",0,0,0
381,You have some great shots in your gallery! I mean I liked them 😊,0,0,0
382,"Y'all aint doing NOTHING this season! Tryna roast Toronto GTFOH, We 6-0 while y'all 0-5 😂😂😂",0,0,0
383,We still eastern conference champs 😂😂😂 @realtristan13 🗑,0,0,0
384,@_loyaltycc and I'm not a Cavs fan.,0,0,0
385,You guys really are the team to beat 😂😂😂,0,0,0
386,East still goes thru 0-6 cavs ? 🤣😂,0,0,0
387,The look of not winning a game all season,0,0,0
388,Nice flick 👍🏾,0,0,0
389,U never post khloe or true..cmon. Not cool,0,0,0
390,"@daxpodollan 🤦🏼‍♀️ if I threw a stick, you'd leave, right?",0,0,0
391,@miss_n_emily wtf are you talking about,0,0,0
392,❤️ @andersonvarejao18 it's spectacular! Brazil loves,0,0,0
393,@biiancadraws lol...is this in Eminem's puppet voice cause thats how I said it,0,0,0
394,@karlapink me too😂😂😂😂,0,0,0
395,You're Canadian??,0,1,0
396,Canada doesnt even claim you,0,1,0
397,friends,0,0,0
398,"@steveostick thank you for realizing this, @colettecora",0,0,0
399,@steveostick hahaha I suppogrammar awareness 😏,0,0,0
400,It's “than” lmao😂😂😂,0,0,0
401,Yaasss👏🙌,0,0,0
402,I loved when u were in Cleveland want u to come back,0,0,0
403,Who raked the beach?,0,0,0
404,@unbreakablebond9 Haha true,0,0,0
405,@khloekardashian he doesn't deserve you,0,0,0
406,@khloekardashian that's because he doesn't love you 😞,0,0,0
407,@unbreakablebond9 screaming 😭😂,0,0,0
408,@khloekardashian I understand there is a child involved not that easy to everyone commenting. Stay strong hun,0,0,0
409,@khloekardashian leave him,0,0,0
410,@badbitch_des damn,0,0,0
411,Maybe if u did less of this and more practicing y'all wouldn't be 0-5,0,0,0
412,🤢🤢🤢,0,0,0
413,Khloe it's time u wake up to reality,0,0,0
414,Now we know why Lebron left...,0,0,0
415,@khloekardashian you were there? He needs to post some pics of you and him.,0,0,0
416,@khloekardashian It is hard to reconcile the fact you stayed with this man!!!How could he!Let me not say anymore for your sake,0,0,0
417,@lau_yee ok this d print is outrageous,0,0,0
418,A kept man!,0,0,0
419,this aint it,0,0,0
420,@khloekardashian oh sweetie.,0,0,0
421,@khloekardashian I feel you! My husband NEVER photo credits me 😩😂😅,0,0,0
422,What parish is this in?,0,0,0
423,Kloeh shopping for you??? No wonder,0,0,0
424,@casemcgarvey so much shade,0,0,0
425,Okay but where did you buy this?????,0,0,0
426,@khloekardashian that's how you know he's no loyal.,0,0,0
427,Looking real sweet 🤣,0,0,0
428,"You're so full of yourself @realtristan13 😱😱
 You barely have any pictures of Khloe and only one of True.. you clearly don't love your daughter if you can post so much about yourself and nothing about her😲🤷🏽‍♀️",0,0,0
429,You looking for a new guy.,0,0,0
430,Yeah bro ‼️,0,0,0
431,dam u good as hell,0,0,0
432,Awesome!,0,0,0
433,Why u didn't do this with LeBron?,0,0,0
434,@nuvo333 haha he ain't playing against nba people here that's why😂,0,0,0
435,@ekrickyyy It's not even that.. he's just shooting with more conviction here. It's a mental thing really.,0,0,0
436,Steph still out rebounded you....,0,0,0
437,Where tf was this last year??? @rpate20,0,0,0
438,@ajskiba23 he's playing YMCA level competition,0,0,0
439,Why you couldn't do that in the finals 🤦🏾‍♂️,0,0,0
440,How good is this @illestbird,0,0,0
441,Weakness in the same way haha,0,0,0
442,He wanna be a guard so bad,0,0,0
443,@marlsreidofficial wow! Footage has emerged of me at my year 6 basketball carnival,0,0,0
444,You can swish that 3 but not in a game,0,0,0
445,get right and play right,0,0,0
446,@dwyanewade @realtristan13 this what you posed to be doing with LeBron,0,0,0
447,Awesome!,0,0,0
448,Where the girl at,0,0,0
449,Thanks for following,0,0,0
450,Teach them kids how to be a great father/ husband!,0,0,0
451,I'm in the video,0,0,0
452,Made my day,0,0,0
453,@grateful_queen aren't we all here for that 😂😂😂,0,0,0
454,Super!,0,0,0
455,Young handsome black baller he does not need to be committed and is not married! Just have fun while young marriage and relationships come after growth do you @realist1one I have five boys I tell them the same have fun with the young ladies while you're young you'll learn and grow best that way,0,1,0
456,Well done Tristan👍,0,0,0
457,Better love to come home to see your daughter,0,0,0
458,"""Lord have mercy!""",0,0,0
459,Is khloe still in Cleveland Ohio They give To me and I just write it,0,0,0
460,I wanna go to this @danny_25_92,0,0,0
461,@khloekardashian dummy🤣🤣🤣,0,0,0
462,Dare u to say hi to me,0,0,0
463,Khloe is a hero for forgiving you bro,0,0,0
464,"@realtristan13 My son has cerebral palsy, autism and is also epileptic. I commend you! Research and Suppois definitely needed🌻",0,0,0
465,Ma little sister has epilepsy too. @realtristan13 click the link in ma BIO please. 😞🙏🏽,0,0,0
466,@realtristan13 yo momma is Beautiful,0,0,0
467,@khloekardashian I mean it is her daughters father they gonna talk and suppoeach other no matter what LOL,0,0,0
468,Cbd and Canabis oil dude 🌻,0,0,0
469,Where is ur son ?,0,0,0
470,Toronto did something good 💯 @reanna.t_ . Proud citizen 😅,0,1,0
471,@avorimadya He did it 2himself n I good Deed dsnt excuse who he really is💯,0,0,0
472,Boy got peas for days damn brush/come my guys hair😂,0,0,0
473,"Nice photo, there is no need for more words, I just wanted to say 😍👌",0,0,0
474,Great pics!!!!,0,0,0
475,@stinoskicks,0,0,0
476,wE sTiLl rEmEmbEr wHaT y0U diD tO kOkO,0,0,0
477,@fa2cam 😂only for the comments😂,0,0,0
478,Flannel way too small 🚮🚮🚮🚮,0,0,0
479,Breathtaking one,0,0,0
480,You and jay-z can rot in hell together while your children are living better lives without you,0,0,0
481,Complete copying asaprocky lmaoo,0,0,0
482,What in heavens can this man teach ????? Nada,0,0,0
483,So cool! 💪😎🏀,0,0,0
484,Team tristian,0,0,0
485,That's a pretty good one. Actually I think your recent photos are really good. I will be waiting for your next photo 😊✋,0,0,0
486,Aren't u from Brampton ? 🤔,0,1,0
487,Hold one in Houston plz,0,0,0
488,Boy your from brampton dawg,0,1,0
489,@dwyanewade learn how to grab offensive rebounds.,0,0,0
490,What for ? You cant play,0,0,0
491,@ns_24 who else is from the 6 lol,0,0,0
492,Lol learn how to lose every game ?,0,0,0
493,hey you guys scrolling follow @leelaowen and dm me when done for 3 free followers and likes on ur recent 10 photos!!,0,0,0
494,You have one of the good galleries I've seen today 👌,0,0,0
495,@twicenow it's Emery's costume!!,0,0,0
496,OmGosh! How funny!💜💜💜,0,0,0
497,happy birthday,0,0,0
498,the sloth is absolutely EVERYTHING ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,0,0
499,🎃👻💀😇👽😘💚💚💚while you are in New York. 😇is here.,0,0,0
500,Love u @katyperry,0,0,0
501,You're 10x hotter when you're in serious mode @katyperry,0,0,0
502,I love u to the moon & back 💗,0,0,0
503,Happy for you🐈 Catwoman @katyperry,0,0,0
504,Mino love music Katy Perry. Minomoretti.music.angels,0,0,0
505,My favourite woman... I really love her songs,0,0,0
506,It's just so cool that my birthday is the same day as yours I remember going to your concelast year as my birthday present 💝 I would always remember that day 10/25/17,0,0,0
507,I love Dolly 😍😊😌,0,0,0
508,"@andrea1858 honestly this is my dream😫😫😫 for my fellow big hair, big titteee committee honoree dolly to sing me happy birthday💕💕💕💕",0,0,0
509,very cool ! !,0,0,0
510,I found the cutest puppy pics @dailybabycanines,0,0,0
511,Love her! ❤️,0,0,0
512,Wow,0,0,0
513,Oh shit! This is Genesis P-Orridge 🔥,0,0,0
514,Hehe. Sensational! 🌈💖🕊,0,0,0
515,@carroll_correll AHHH both my favs😍,0,0,0
516,love her😘😘,0,0,0
517,Nice one 👍,0,0,0
518,HELLO DOLLY,0,0,0
519,HAPPY HALLOWEEN EVERYONE.,0,0,0
520,I WILL ALWAYS LOVE YOU !,0,0,0
521,HAPPY BIRTHDAY DOLLY.,0,0,0
522,You know you've made it when...,0,0,0
523,Good morning friend,0,0,0
524,@orlandobloom don't play with katy,0,0,0
525,Yet you make fun of him. Bye mean girl,0,0,0
526,Bieber,0,0,0
527,Beautiful People 💕💕💕💕,0,0,0
528,top,0,0,0
529,get hype,0,0,0
530,go go,0,0,0
531,@diaryofafitmommyofficial says the diary of an obssesed mommy...😐,0,0,0
532,Same 😂,0,0,0
533,Smagirl with good taste,0,0,0
534,But not justin sorry #joking😁,0,0,0
535,Hahaha 😍😂,0,0,0
536,Katy got tha feels 😂,0,0,0
537,@katyperry I think Orlando is right... You look Super Thirsty xoxo Stop being Shady,0,0,0
538,You are more talented,0,0,0
539,Happy birthday! 🎈🎉🎁🎆🎇,0,0,0
540,Your ok. To bad you don't believe.,0,0,0
541,Congrats,0,0,0
542,Everyone loves your songs,0,0,0
543,Waoooooo,0,0,0
544,Very nice,0,0,0
545,I am from iran i love you💏,0,1,0
546,Happy Halloween,0,0,0
547,Did you ever see your fans? I dont think so My beloved star,0,0,0
548,My queen is Katy 💓,0,0,0
549,Best😍😍😍,0,0,0
550,Ally Girls Rally ofcourse,0,0,0
551,Congratulations,0,0,0
552,I miss the old Katy 😫😢,0,0,0
553,Love love love 😘😘😘😘😘😘,0,0,0
554,"Kathering, its time to wake up!",0,0,0
555,Nice,0,0,0
556,❤️Wow,0,0,0
557,Young kAty,0,0,0
558,I think we all miss her.,0,0,0
559,katy.. marry me..💐,0,0,0
560,Bring Her back,0,0,0
561,I vibe heavy with this picture 💞,0,0,0
562,I miss old katy 😢,0,0,0
563,Happy birthday beautiful,0,0,0
564,Hi katy.. I just want to wish you a very happy birthday.. you are a firework!! Love.. ❤️💚💙..,0,0,0
565,Love the pink❤️😍,0,0,0
566,Omg!,0,0,0
567,Hi. 🇮🇷 I am an Iranian person and I need your helps to cash some money from my page . Becouse the living in here is difficult ... please help me by #following_me,0,1,0
568,@katyperry YOU GO TO HALLOWEEN PARTY?,0,0,0
569,Yes queenn😍,0,0,0
570,@katyperry your Barbie in pink,0,0,0
571,can you guys follow me have 0 followers am 9 years old,0,0,0
572,@katyperry YOU LOOK LIKE U GO TO A HALLOWEEN PARTY,0,0,0
573,nice,0,0,0
574,ON FIIIIIIIRREEEE 😢😢😢😢😢❤❤❤❤❤,0,0,0
575,@felicitythechiweenie thinks you're divine ❤️😍,0,0,0
576,I love that lip color!!!! What is it????,0,0,0
577,👈👈👈 Epic Disney Throwback! #NEWVIDEOO 📽🎬🔥 Link in bio,0,0,0
578,Wow. You're absolutely amazing,0,0,0
579,Queen,0,0,0
580,Was you born with a pe,0,0,0
581,Katy's friend I'm coming to your new home i love u Friends 😘😂,0,0,0
582,Wonderful!!!!!💎,0,0,0
583,@iamstevent pink,0,0,0
584,Lovely,0,0,0
585,💙💚💙💚 u r amazing!!,0,0,0
586,beckon,0,0,0
587,oh my Katy !,0,0,0
588,I can't breath when I see your photos😍😍😍😍😍,0,0,0
589,very goddd👍👍👍👍👍👍👍💞💝🌷🌹🎤,0,0,0
590,🔹 Superrrrr😍,0,0,0
591,wowww!!!👏👏,0,0,0
592,No,0,0,0
593,Yes yes,0,0,0
594,HAPPY birthday,0,0,0
595,I thinked it's Christina Aguilera 😂,0,0,0
596,Happy Birthday @katyperry 💜,0,0,0
597,Awesome😄,0,0,0
598,I'm 53 years old and bought your leopard print boots with gold tone heel..... one word. LOVE!!!!!!!!,0,0,0
599,I love you 💓,0,0,0
600,Take down your gates around your house! Fire your gun toking security guards and turn off your alarms! #buildthewall,0,0,0
601,Woow its veri cool😍😍😍,0,0,0
602,Gorgeous,0,0,0
603,Love this ❤️❤️❤️🔥🔥🔥🔥,0,0,0
604,Thanks for reminding people to vote REPUBLICAN across the board. Republicans want freedom and for your taxes to work for you. Democrats want to take your freedom and have your taxes pay for system leeches and illegals. #voterepublican #MAGA #republican,0,0,0
605,Can you come to LOUISIANA 🙌🤣💜😁,0,0,0
606,This confirms I shouldn't be voting -Now i know not to vote is right. HRC supports harvey! Either you suppowoman or you don't KP. #mkultra,0,0,0
607,"My whole life, people have been saying, Why are you so angry?",0,0,0
608,I'm registered!!!! 🇺🇸🇺🇸 California 😊,0,0,0
609,god afternood,0,0,0
610,Make sure you vote for freedom not free stuff.,0,0,0
611,We r registered to vote Republican all up and down! #votered 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0,0,0
612,I'm so sorry Cooper. Please forgive me. @cooper._roy,0,0,0
613,Yaaaassssss,0,0,0
614,"🎂 Wish you a happy birthday dear.May Almighty bless you his choicest blessings and lots of happiness. Stay happy forever. Lots of love and wishes. May all your wishes come true.. Have a great day and year.❤️🎂😘🌹@katyperry
 Gauri",0,0,0
615,@pritchetclaire he was Democratically allocates,0,0,0
616,@dreamy.daydreams that sounds like something a dem would say,0,0,0
617,Yea NOW people want to vote..m,0,0,0
618,Rihanna got beat up and left for dead by her boyfriend then went back to him. You dumb pop stars need to stick to music.,0,0,0
619,well-behaved,0,0,0
620,Trump Nation🇺🇸🇺🇸🇺🇸,0,0,0
621,Republican all Day!! #RedWave,0,0,0
622,I want to see this movie so bad too,0,0,0
623,Holo!!! It's me Cristine again!,0,0,0
624,Amc overpricing movies smh,0,0,0
625,wonder if she saw it at innaloo😂 @jyahvilla,0,0,0
626,Movie tickets are $20 where you live?! Good God.,0,0,0
627,"yasss queen honey, allso my friend likes my boyfriend and I think he is cheating on my with her because they are allways hanging out and laughing at eachother, what shoul i do",0,0,0
628,Wish you can send some tickets to Austin Canada here so expensive see one of your shows we would love to see your show especially my seven-year-old daughter you are her Idol she just loves you right to death and so did the rest of my family,0,0,0
629,Oh yeah,0,0,0
630,Did you like the film?,0,0,0
631,Love u katt,0,0,0
632,Katy it's not good hear😢,0,0,0
633,I went to your consert,0,0,0
634,Really is fantastic,0,0,0
635,So nice💋,0,0,0
636,Super 🌸🌸🌸,0,0,0
637,"Overcoming fear is the first step to success for entrepreneurs. The winners all exemplify that, and the hard work and commitment they have shown underlines what is needed to set up a business.",0,0,0
638,Happy Birthday.Katy...❤️ Congratulations Another Spin around the Sun .....🌞......💨🎂 Make a Wish..!,0,0,0
639,Awww💚,0,0,0
640,Very nice,0,0,0
641,I LOVE IT!✌🏻💖,0,0,0
